id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,xin,calculated_host_listings_count,availability_365
25428764,3214,41039458,1753,0,27,1.29491,103.8069,0,125,90,3,759,0.26,10,129
25435388,5317,48751387,639,0,11,1.3253,103.9048,1,129,1,36,992,2.6,1,334
25445549,109,191196476,1735,0,15,1.31044,103.8584,1,86,2,7,960,0.47,2,349
25489396,2812,28260347,239,3,26,1.40436,103.90788,1,75,3,11,756,0.76,1,0
25493161,3746,66406177,687,0,24,1.2762,103.84414,0,156,30,1,765,0.13,274,342
25505227,3464,191309433,1772,0,15,1.32727,103.86251,1,40,30,3,713,0.23,4,53
25516668,1028,191309433,1772,0,15,1.32531,103.86452,1,60,1,8,684,0.56,4,0
25586550,2572,160584643,1543,1,1,1.31723,103.92069,1,28,2,13,655,0.94,1,0
25591117,1364,71047039,81,0,24,1.28191,103.84708,0,175,3,31,977,2.12,16,33
25596207,1427,1439258,800,0,27,1.28146,103.78597,1,56,1,1,973,1,32,338
25596265,5598,18618387,775,0,27,1.27944,103.78697,1,75,1,4,840,0.27,18,355
25603877,6579,193004034,832,0,38,1.33416,103.84735,1,44,3,4,587,0.27,1,0
25634551,856,40078728,1051,3,12,1.36076,103.8835,1,100,90,52,984,3.56,1,268
25661108,7063,31464513,353,0,15,1.31354,103.85265,0,225,4,5,838,0.36,114,155
25711980,750,156409670,1261,0,27,1.29187,103.80718,0,285,3,1,962,0.75,78,364
25716192,1348,2136599,31,0,10,1.27415,103.84634,0,250,5,2,614,0.13,1,0
25716782,919,176745294,839,0,22,1.31717,103.84323,0,249,1,44,978,3.03,2,164
25748458,5951,6609641,245,0,37,1.31566,103.82693,0,160,7,3,840,0.21,19,365
25753432,5763,31464513,353,0,15,1.3223,103.86384,0,268,80,1,603,0.07,114,358
25759073,4000,59405671,454,3,26,1.40658,103.89575,1,25,1,17,996,1.29,1,135
25759552,3918,90613922,722,0,29,1.31102,103.85338,0,150,3,31,979,2.16,10,0
25760233,1951,23336011,604,0,10,1.2805,103.8492,0,181,7,3,763,0.22,40,340
25783297,7157,8492007,72,0,22,1.32589,103.84858,0,290,10,3,979,0.5,203,365
25787949,918,31464513,353,0,22,1.32908,103.84426,0,350,80,1,589,0.07,114,358
25793757,4886,76505816,1649,0,11,1.31173,103.89071,0,108,2,62,997,4.49,1,44
25796874,7316,59850672,696,4,8,1.3797,103.73912,1,44,3,11,985,0.84,2,352
25797887,3042,97878860,275,0,24,1.2832,103.84207,1,67,90,1,752,0.12,59,356
25810330,2820,23722617,53,0,11,1.31403,103.88852,0,78,10,14,985,0.99,84,55
25815030,5688,102052937,999,0,28,1.29453,103.83703,2,81,2,9,990,0.62,2,82
25816343,5899,162056672,997,0,10,1.28473,103.8593,1,300,1,9,640,0.61,2,269
25816812,2407,71047039,81,0,24,1.28201,103.84483,0,150,3,32,891,2.17,16,45
25821961,3471,183618288,731,0,24,1.28327,103.84513,0,200,3,9,888,0.67,30,62
25843604,2955,183618288,731,0,24,1.28336,103.845,0,175,3,6,917,0.49,30,47
25848131,772,32184450,129,0,15,1.31099,103.86014,0,181,3,1,968,0.88,67,365
25866359,5995,23722617,53,0,24,1.28385,103.84536,0,110,8,3,805,0.23,84,89
25872180,2933,78395972,406,1,1,1.3302,103.91444,1,60,2,61,951,4.29,1,213
25877353,1884,156409670,1261,0,27,1.30458,103.78435,0,344,3,3,966,0.38,78,364
25878538,5757,22274940,1457,0,29,1.30326,103.84673,0,178,3,28,997,1.92,2,47
25886181,1919,33539623,413,0,29,1.30876,103.85037,2,81,2,1,648,0.08,9,351
25888807,6617,182166388,537,1,1,1.3127,103.9512,0,181,1,12,984,1.11,3,173
25892078,780,8527085,188,0,10,1.28099,103.85008,0,258,2,46,986,3.14,38,227
25909373,374,8948251,751,0,11,1.31439,103.88222,1,33,18,2,667,0.15,83,353
25920277,3006,33539623,413,0,29,1.30927,103.85162,2,81,1,2,597,0.14,9,365
25920417,3005,33539623,413,0,29,1.30773,103.85009,2,100,1,1,657,0.09,9,365
25920563,1917,33539623,413,0,29,1.30941,103.85203,2,37,1,6,976,0.51,9,353
25920731,1916,33539623,413,0,29,1.30956,103.85202,2,35,2,2,664,0.14,9,319
25926356,4172,156409670,1261,0,22,1.31519,103.84081,0,256,3,1,969,0.91,78,364
25955418,1889,194823170,1169,1,1,1.31525,103.91907,1,50,1,15,974,1.27,3,40
25959162,7035,31464513,353,0,22,1.32508,103.84533,0,140,10,2,785,0.14,114,320
25963531,6651,2413412,822,0,24,1.28526,103.84173,1,65,90,2,753,0.16,112,326
25972498,6345,187983099,1191,1,36,1.34975,103.92901,1,81,1,95,998,6.71,2,53
25980558,1799,71047039,81,0,24,1.2822,103.84629,0,181,3,12,912,0.84,16,85
25980709,761,120674614,88,0,22,1.3204,103.85368,0,250,5,2,968,0.29,6,55
25985784,4974,195325602,45,0,4,1.28467,103.83495,1,65,7,1,818,0.16,6,354
25985995,4175,156409670,1261,0,22,1.31646,103.84047,0,289,3,1,800,0.15,78,364
25986707,5012,195325602,45,0,4,1.28653,103.83382,1,65,7,1,819,0.16,6,360
25992872,299,32184450,129,0,22,1.32417,103.85016,0,106,14,5,963,0.36,67,318
25998215,5234,44793532,1736,0,38,1.33875,103.86948,1,43,1,114,985,7.81,2,235
26010615,1534,195325602,45,0,4,1.2846,103.83342,1,65,7,1,923,0.38,6,360
26010706,5019,195325602,45,0,4,1.28455,103.83357,1,65,7,2,831,0.34,6,355
26020344,7111,8492007,72,0,22,1.32353,103.85085,0,150,10,1,967,0.86,203,365
26040285,7049,31464513,353,0,22,1.32372,103.8507,0,140,7,3,950,0.22,114,322
26054381,1187,96467516,927,0,11,1.31555,103.8877,1,67,2,37,988,2.69,26,214
26056791,5460,3234859,1436,0,15,1.30495,103.86233,1,60,1,53,998,3.73,9,139
26063632,4816,112334807,510,0,10,1.28004,103.84941,0,276,1,7,949,0.61,3,162
26065685,4710,170378301,1036,0,29,1.30213,103.84845,1,56,7,2,801,0.27,9,0
26084661,2457,13678894,854,3,32,1.35256,103.86761,1,64,2,4,974,0.28,1,115
26093769,58,8492007,72,0,11,1.31034,103.87624,0,218,2,5,702,0.38,203,337
26094193,65,8492007,72,0,11,1.30916,103.87812,0,268,2,2,655,0.15,203,305
26109666,88,31464513,353,0,11,1.31127,103.87788,0,237,3,3,633,0.22,114,362
26109753,80,31464513,353,0,11,1.31005,103.87796,0,268,3,1,607,0.07,114,362
26109755,55,31464513,353,0,11,1.31163,103.87622,0,587,3,5,800,0.4,114,362
26110112,90,31464513,353,0,11,1.3115,103.87824,0,237,3,17,921,1.19,114,358
26110216,78,31464513,353,0,11,1.30993,103.87826,0,318,3,10,721,0.72,114,358
26120936,1558,194915699,258,4,5,1.37778,103.76279,1,60,1,9,704,0.65,1,0
26121640,71,8492007,72,0,11,1.31101,103.87643,0,468,2,4,626,0.29,203,365
26121744,6556,96467516,927,0,11,1.31501,103.88655,1,67,2,20,992,1.55,26,214
26139798,301,32184450,129,0,20,1.29434,103.84322,0,150,12,4,780,0.39,67,361
26143674,7041,31464513,353,0,15,1.31572,103.85314,0,140,7,2,796,0.21,114,329
26144223,7037,31464513,353,0,33,1.29345,103.84173,0,149,7,2,906,0.14,114,325
26170424,1910,196709892,115,0,29,1.30461,103.85294,2,18,1,18,969,1.36,5,358
26176258,3596,71047039,81,0,24,1.28151,103.84629,0,181,3,10,886,0.7,16,47
26177110,6479,32184450,129,0,22,1.323,103.85397,0,100,5,6,938,0.46,67,340
26199521,6388,158923082,751,0,27,1.28064,103.78516,0,108,700,2,586,0.14,1,358
26201262,315,32184450,129,0,29,1.30212,103.84873,0,131,12,2,774,0.24,67,353
26204005,5837,71047039,81,0,22,1.31839,103.84758,0,100,3,8,976,0.56,16,33
26205199,773,32184450,129,0,15,1.3141,103.85392,0,219,5,2,718,0.15,67,305
26207649,89,31464513,353,0,11,1.31192,103.8781,0,237,3,7,808,0.51,114,362
26207768,79,31464513,353,0,11,1.31042,103.87654,0,318,3,6,714,0.43,114,362
26217724,4078,8527085,188,0,24,1.28158,103.84871,0,258,2,7,962,0.51,38,13
26218347,1615,8527085,188,0,23,1.30441,103.83354,0,319,2,29,980,2.4,38,299
26221747,4926,41039458,1753,0,27,1.28108,103.78316,0,135,25,2,888,0.48,10,0
26232923,4388,36277810,752,3,31,1.39042,103.87892,1,44,1,81,978,5.79,1,325
26236461,73,31464513,353,0,11,1.31042,103.87689,0,719,4,3,900,0.31,114,356
26261789,4749,178584113,1162,0,10,1.27794,103.85011,0,350,4,4,984,0.34,15,330
26290123,1235,2413412,822,0,11,1.31395,103.88181,1,33,18,1,709,0.1,112,359
26290281,380,8948251,751,0,11,1.31466,103.8828,1,33,18,1,600,0.07,83,359
26293068,345,8948251,751,0,15,1.30982,103.86158,1,40,28,1,625,0.08,83,362
26304624,3661,129970872,1822,1,1,1.31916,103.90977,0,119,2,1,654,0.08,1,0
26309079,3641,71047039,81,0,24,1.28191,103.84665,0,150,3,40,966,3.22,16,70
26310349,7038,31464513,353,0,22,1.32869,103.84708,0,131,7,3,981,0.55,114,357
26316483,6402,138649185,1189,4,9,1.31338,103.7597,0,350,3,1,620,0.08,76,364
26318683,5879,9164793,1051,0,4,1.28439,103.83243,1,108,1,10,700,0.71,5,0
26322683,3455,149288488,500,0,11,1.31493,103.88193,0,117,3,1,713,0.1,2,54
26325132,4219,36177912,331,0,10,1.27928,103.85342,0,194,90,1,990,1,3,162
26335455,3714,91165081,290,1,1,1.30899,103.91135,1,40,5,1,764,0.13,10,362
26336203,5900,162056672,997,0,18,1.28435,103.86159,1,419,1,3,637,0.22,2,0
26340629,4749,178584113,1162,0,10,1.27742,103.84838,0,350,4,7,982,0.79,15,345
26344207,6056,100474068,731,4,8,1.38422,103.74553,1,50,8,14,987,1.13,2,271
26369349,6605,149873393,191,1,1,1.3277,103.94559,0,115,3,42,981,2.96,3,86
26369880,7032,159804766,1688,0,11,1.31124,103.87805,0,250,5,1,598,0.07,79,336
26370803,4749,178584113,1162,0,10,1.27722,103.84828,0,350,4,8,974,0.67,15,359
26381161,3452,81107861,680,0,11,1.31619,103.88308,1,37,2,33,999,2.38,4,157
26382243,6658,2413412,822,0,24,1.28486,103.84178,1,57,90,1,598,0.07,112,343
26384329,4247,8948251,751,0,15,1.31111,103.8582,1,57,18,1,587,0.07,83,360
26405063,889,6609641,245,0,37,1.31723,103.8257,0,300,7,4,816,0.32,19,351
26409674,4586,144740166,671,0,15,1.31548,103.85445,0,235,2,1,661,0.09,5,0
26430186,6991,159804766,1688,0,20,1.29445,103.84283,0,137,3,3,957,0.38,79,320
26435121,178,29420853,7,0,15,1.31596,103.85306,0,131,10,4,661,0.31,141,332
26435923,3774,56421978,1106,0,15,1.3182,103.85192,1,60,3,15,999,1.2,7,146
26436348,161,29420853,7,0,22,1.32652,103.84606,0,131,10,7,978,0.55,141,320
26444799,4610,181489116,46,0,38,1.34171,103.87957,1,81,3,3,647,0.23,1,0
26461753,1635,87181745,671,0,29,1.30084,103.85045,1,111,1,1,807,0.15,4,0
26464626,6140,14326542,1734,0,20,1.29849,103.84691,0,419,1,84,990,6.03,4,322
26484203,7449,74708747,753,1,1,1.33699,103.92859,1,43,2,8,857,0.57,1,85
26487298,7138,8492007,72,0,29,1.30292,103.85151,0,500,14,4,962,0.3,203,351
26502772,4517,158404113,252,0,11,1.31244,103.88305,1,65,1,2,935,0.19,3,148
26503900,4753,20682139,1401,4,8,1.37869,103.7518,0,50,5,14,983,1.07,1,310
26504288,164,29420853,7,0,20,1.29504,103.84309,0,131,10,9,880,0.89,141,287
26544804,812,29420853,7,0,11,1.31165,103.87633,0,258,3,7,959,0.63,141,339
26545297,153,29420853,7,0,29,1.29974,103.85025,0,131,10,2,638,0.16,141,260
26547527,523,29420853,7,0,15,1.31125,103.86053,0,168,3,1,740,0.11,141,307
26552882,549,29420853,7,0,22,1.32261,103.8536,0,200,3,3,983,0.22,141,254
26553209,527,29420853,7,0,11,1.31126,103.87671,0,178,3,28,989,2.23,141,333
26555143,91,72997363,349,3,32,1.34547,103.87799,0,228,3,36,996,3.35,1,94
26577038,6611,96467516,927,0,11,1.31269,103.87859,1,51,2,22,991,1.62,26,168
26583889,4042,1170341,699,0,37,1.29293,103.83104,1,104,30,3,970,0.94,3,261
26592863,5141,40828349,1259,0,4,1.28524,103.83359,1,62,3,2,617,0.15,1,0
26612587,4518,158404113,252,0,11,1.3117,103.88209,1,60,1,1,969,0.91,3,147
26627387,2482,109923209,751,0,19,1.30531,103.90378,0,681,1,1,758,0.12,2,85
26633522,4359,138720463,1491,0,28,1.2984,103.84121,0,201,28,11,942,0.99,8,167
26683215,3587,8097097,1113,0,28,1.2934,103.84021,0,347,3,8,987,0.61,1,0
26683920,5001,134613805,919,0,4,1.28895,103.83094,1,99,1,41,997,3,1,46
26693858,3426,200705490,1556,0,4,1.28085,103.8257,0,160,1,2,663,0.16,1,0
26706482,516,29420853,7,0,15,1.31568,103.85286,0,168,3,10,975,0.78,141,329
26722597,6535,11852391,916,0,10,1.27741,103.85069,0,160,1,14,809,1.15,1,0
26722862,1231,2413412,822,0,11,1.31564,103.88095,1,33,18,2,800,0.22,112,359
26731319,526,29420853,7,0,11,1.3113,103.87765,0,178,3,33,995,2.49,141,292
26731389,812,29420853,7,0,11,1.31021,103.87819,0,258,3,19,985,1.65,141,299
26731899,1016,29420853,7,0,11,1.30997,103.87747,0,500,5,2,970,0.3,141,360
26733957,3308,117734470,982,0,22,1.32112,103.85381,0,149,2,43,977,3.17,8,66
26753305,5337,150395781,548,0,27,1.30511,103.78942,0,131,14,2,653,0.16,1,0
26755194,6980,159804766,1688,0,15,1.31943,103.85326,0,150,5,3,858,0.42,79,339
26755304,6262,201193048,1136,0,22,1.32665,103.84312,0,151,3,65,986,4.99,1,36
26755694,6986,159804766,1688,0,22,1.32774,103.84904,0,137,3,1,817,0.16,79,342
26756209,6967,159804766,1688,0,15,1.31511,103.85245,0,190,5,1,799,0.15,79,307
26761652,295,32184450,129,0,11,1.31447,103.88923,0,200,7,5,713,0.44,67,361
26768425,7147,8492007,72,0,15,1.31459,103.8547,0,187,5,4,699,0.3,203,364
26790724,6283,951965,143,1,36,1.36119,103.93414,1,87,1,3,919,0.23,2,261
26791029,5508,156409670,1261,0,33,1.29097,103.84122,0,640,2,5,989,0.43,78,359
26794016,5312,11651748,1440,0,28,1.29408,103.8409,1,56,1,2,745,0.23,1,21
26822021,3604,2413412,822,0,15,1.31283,103.85834,1,60,18,1,964,0.79,112,332
26849868,3841,201937875,1125,4,14,1.34512,103.72366,0,119,2,13,984,0.99,2,277
26852016,797,201932923,439,0,11,1.31411,103.89199,0,250,3,31,943,2.4,2,8
26854105,6421,183618288,731,0,24,1.28306,103.84547,0,200,3,12,983,0.99,30,43
26880160,70,8492007,72,0,11,1.31054,103.87685,0,269,2,2,928,0.16,203,347
26880725,62,8492007,72,0,11,1.31047,103.87613,0,228,2,2,655,0.15,203,337
26885359,1781,3274080,418,1,1,1.3076,103.9118,0,87,2,53,997,4.06,2,14
26893789,3164,119613097,1477,0,15,1.31076,103.86037,0,300,2,1,618,0.08,27,362
26893958,3167,119613097,1477,0,15,1.31227,103.86048,0,500,1,1,905,0.31,27,365
26894055,3163,119613097,1477,0,15,1.31053,103.85983,0,200,2,3,721,0.23,27,365
26901705,2062,56273456,1449,4,3,1.34985,103.74369,1,50,7,1,618,0.08,3,0
26908251,295,32184450,129,0,11,1.30966,103.87672,0,200,3,5,783,0.44,67,362
26908425,957,32184450,129,0,11,1.31196,103.87674,0,225,25,1,949,0.57,67,361
26915644,3159,119613097,1477,0,15,1.31275,103.85991,0,500,1,2,872,0.27,27,359
26925552,5936,178584113,1162,0,10,1.27707,103.84808,0,300,4,11,934,1.01,15,353
26930345,3113,183618288,731,0,24,1.2818,103.84625,0,300,3,1,669,0.09,30,27
26931333,5734,71047039,81,0,24,1.28289,103.84523,0,137,3,29,978,2.27,16,78
26935086,1415,183618288,731,0,37,1.31662,103.828,0,181,30,9,851,0.79,30,77
26938694,1857,156409670,1261,0,22,1.3287,103.84162,0,394,3,1,631,0.08,78,364
26957177,1045,7080517,1337,0,11,1.3156,103.89135,0,139,30,9,962,0.68,11,327
26957485,5322,44885364,1729,4,8,1.39145,103.75232,1,28,1,34,997,2.58,2,6
26958869,2742,127262409,250,0,11,1.3132,103.88139,1,60,1,39,978,3.02,2,147
26959283,6071,183618288,731,0,37,1.31732,103.82925,0,181,30,8,900,0.84,30,89
26960806,6451,183618288,731,0,37,1.31831,103.82829,0,181,30,1,663,0.09,30,60
26961975,3658,202873737,1231,2,41,1.43283,103.79032,0,108,3,8,762,0.71,1,180
26964529,5721,71047039,81,0,24,1.28367,103.84527,0,150,3,34,917,2.74,16,41
26974882,61,8492007,72,0,11,1.31037,103.87591,0,218,2,5,921,0.4,203,313
26979340,68,8492007,72,0,11,1.30974,103.87792,0,287,7,1,631,0.08,203,322
26980329,7226,8492007,72,0,29,1.30123,103.85161,0,237,3,4,874,0.48,203,256
27034075,1721,7614592,222,0,24,1.28195,103.84368,1,118,1,6,915,0.45,14,357
27036742,1732,7614592,222,0,24,1.28189,103.84436,1,100,1,11,957,0.82,14,356
27037488,5924,102695772,1750,2,41,1.43925,103.80332,1,56,1,28,981,2.16,2,84
27052457,6151,1112482,379,0,15,1.31496,103.84838,1,31,3,23,987,1.78,1,47
27072907,2067,64248773,131,4,14,1.34746,103.72335,1,81,2,3,647,0.23,1,0
27078318,6370,71047039,81,0,24,1.28352,103.84501,0,181,3,29,958,2.2,16,60
27102410,4465,130253885,167,0,28,1.295,103.8393,0,139,2,2,894,0.45,3,336
27105520,72,8492007,72,0,11,1.31185,103.87655,0,587,2,4,913,0.31,203,365
27115191,6643,176676798,611,0,33,1.28672,103.84751,2,62,2,6,944,0.53,4,295
27117950,6642,176676798,611,0,33,1.28878,103.84765,2,75,1,5,994,0.44,4,323
27118511,6640,176676798,611,0,33,1.28816,103.8461,2,118,2,4,982,0.31,4,268
27125463,6666,2413412,822,0,15,1.30957,103.86082,1,43,18,1,662,0.09,112,362
27140686,6404,191309433,1772,0,11,1.314,103.8836,1,42,10,5,689,0.39,4,2
27145235,520,29420853,7,0,29,1.29934,103.85159,0,200,20,21,965,1.89,141,256
27147776,6376,60024674,1055,0,22,1.31598,103.84505,0,74,30,1,792,0.14,5,240
27150191,5634,182541452,1179,0,15,1.30037,103.86125,0,364,7,4,816,0.46,2,354
27173162,928,31464513,353,0,22,1.32654,103.84702,0,350,13,2,706,0.16,114,362
27173843,2110,2413412,822,0,24,1.28497,103.84227,1,57,90,1,986,1,112,350
27177948,7130,8492007,72,0,11,1.31269,103.87959,0,199,10,1,683,0.09,203,90
27178946,158,29420853,7,0,15,1.3138,103.85437,0,131,10,7,969,0.54,141,337
27192864,6779,148212286,1768,0,15,1.31099,103.85663,1,50,60,1,636,0.08,2,0
27195225,1908,102695772,1750,2,41,1.43825,103.80587,1,56,1,29,999,2.21,2,90
27239761,77,31464513,353,0,11,1.31188,103.87818,0,318,3,2,672,0.16,114,362
27242079,952,80570036,292,0,22,1.31798,103.84356,0,239,1,31,986,2.45,22,116
27253602,3462,182166388,537,1,1,1.31277,103.95342,0,150,1,6,984,0.67,3,358
27262007,7328,117570030,1693,0,2,1.35137,103.83998,1,108,2,1,612,0.08,1,0
27266929,4139,189449378,1061,0,37,1.29397,103.82991,0,129,2,36,940,2.76,26,294
27270305,162,29420853,7,0,28,1.29481,103.84179,0,131,10,6,968,0.54,141,325
27271318,171,29420853,7,0,22,1.32454,103.85245,0,131,10,5,962,0.51,141,322
27271822,3732,20883050,72,0,11,1.31224,103.88141,1,60,1,4,971,0.36,37,365
27272375,3730,20883050,72,0,11,1.31074,103.88177,1,60,1,20,967,1.53,37,356
27292722,5532,1030128,907,4,14,1.34205,103.71297,1,53,2,4,923,0.31,3,345
27302197,2940,153080781,1650,0,27,1.29261,103.76986,2,25,1,6,925,0.59,8,149
27302911,3070,153080781,1650,0,27,1.29241,103.76817,2,25,1,3,964,0.35,8,116
27324882,1576,91165081,290,1,1,1.30794,103.9118,1,40,4,1,719,0.11,10,365
27342137,690,6609641,245,0,37,1.31772,103.82755,0,240,7,6,970,0.48,19,333
27343211,3103,119740557,1135,0,21,1.30622,103.83835,1,119,3,1,756,0.12,3,88
27350082,5654,129072054,376,0,15,1.30932,103.86344,2,26,1,1,963,0.77,4,363
27377001,2735,118794258,39,0,19,1.30326,103.90629,0,194,90,13,667,1.03,1,0
27378153,5329,28204338,1702,0,33,1.29033,103.84141,0,832,1,4,774,0.35,5,180
27379875,7120,8492007,72,0,37,1.29549,103.82815,0,168,10,1,753,0.12,203,365
27381955,546,29420853,7,0,11,1.31072,103.88393,0,168,5,1,696,0.1,141,325
